Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
BK1,Pin_D1.0mm_L10.0mm,1,BLACK,
BL1,Pin_D1.0mm_L10.0mm,1,BLUE,
C1,C_Axial_L5.1mm_D3.1mm_P15.00mm_Horizontal,1,0.22µF,
C2,C_Axial_L5.1mm_D3.1mm_P15.00mm_Horizontal,1,"0.1µF, 63V",
C3,CP_Radial_Tantal_D4.5mm_P2.50mm,1,"10µF, 16V",
C4,C_Axial_L17.0mm_D6.5mm_P25.00mm_Horizontal,1,"1µ, 250V",
C5,C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal,1,"0.1µF, 250V",
C6,C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal,1,0.22µF,
D1,D_P600_R-6_P12.70mm_Horizontal,1,GI752,
D2,D_DO-41_SOD81_P7.62mm_Horizontal,1,BZX85C5V1,
F1,Fuse_Littelfuse_395Series,1,Polyfuse,
GR1,Pin_D1.0mm_L10.0mm,1,GREEN,
"H1, H2, H3",MountingHole_3.5mm,3,MountingHole,
JP1,PinSocket_1x03_P2.54mm_Vertical,1,Jumper_3_Bridged12,
OR1,Pin_D1.0mm_L10.0mm,1,ORANGE,
"Q1, Q2",TO-218-3_Vertical,2,TIP141,
Q3,TO-92_Inline,1,2N3904,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,"390, 1W",
"R2, R3, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,1k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,"2k4, 1/2W",
R6,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,"2k4, 1/2W",
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470,
R8,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,"680, 1W",
RD1,Pin_D1.0mm_L10.0mm,1,RED,
RL1,Relay_SPDT_Finder_32.21-x000,1,FINDER-32.21-x000,
U1,DIP-16_W7.62mm,1,74LS75,
U2,DIP-14_W7.62mm,1,74LS86,
YL1,Pin_D1.0mm_L10.0mm,1,YELLOW,
