Designator,Mid X,Mid Y,Rotation,Layer
_2,54.102,50.038,0.0,top
,51.562,50.038,0.0,top
BK1,42.01,26.924,0.0,top
BL1,49.122,24.638,0.0,top
C1,15.1,46.482,90.0,top
C2,59.148,50.038,180.0,top
C3,35.35,27.0,0.0,top
C4,54.1,56.642,180.0,top
C5,40.85,49.022,0.0,top
C6,24.15,31.0,0.0,top
D1,58.774,6.0,180.0,top
D2,38.2,44.0,0.0,top
F1,44.196,6.091,180.0,top
GR1,3.148,46.736,0.0,top
JP1,15.086,4.318,0.0,top
OR1,66.04,13.208,0.0,top
Q1,54.625,16.712,180.0,top
Q2,47.598,33.0,180.0,top
Q3,55.07,38.862,90.0,top
R1,32.1,6.858,90.0,top
R2,15.086,20.574,90.0,top
R3,36.83,21.0,0.0,top
R4,36.93,16.764,180.0,top
R5,31.342,36.322,0.0,top
R6,31.088,52.832,270.0,top
R7,45.058,38.862,0.0,top
R8,60.1,38.0,90.0,top
RD1,44.1,12.0,0.0,top
RL1,6.958,30.326,90.0,top
U1,23.214,16.81,0.0,top
U2,23.09,51.562,180.0,top
YL1,35.914,59.182,0.0,top
